930900	29316
1095300	16940
999400	-44448
1129600	25217
1645800	-32021
1840000	25130
1515600	-41693
1561800	-37205
2905300	-114203
3111200	-31929
3055000	-79570
3145800	-79741
6486900	-139926
6016100	-198094
5972100	-110571
6359900	-233320
7228000	-141960
7420200	-271743
7477800	-288906
7713700	-229506
15830700	-510185
15781000	-515136
15337300	-444357
15091100	-393278
31665700	-1119906
38499700	-788168
30663200	-895704
31712600	-733645
70319000	-1541291
70165300	-1578294
69233100	-1664316
68092600	-1652119
87368600	-2089013
87729400	-1934208
88680100	-2229428
88141100	-2356163
203749900	-4811598
219476900	-4739387
218606600	-4717250
220972200	-4537267
542829800	-8722212
670347200	-9314968
528967900	-9845767
542588700	-8681447
1468507400	-17844628
1469035400	-18798446
1464412700	-18741474
1472793800	-18178610
2070287700	-22079522
2067930700	-22338561
2087624100	-22581384
2069110600	-22606313
6551023400	-45962292
6584469900	-45195405
6624693600	-47854708
6580148700	-46418161
