1073500	29316
898900	16940
1407900	-44448
921300	25217
3186900	-32021
3135500	25130
8102100	-41693
8286500	-37205
25872000	-114203
18097400	-31929
5519300	-79570
4888900	-79741
12593400	-139926
16304700	-198094
11027200	-110571
11911200	-233320
14601300	-141960
13125200	-271743
15611000	-288906
13865600	-229506
35556800	-510185
37316900	-515136
36029700	-444357
35949200	-393278
106000800	-1119906
90520000	-788168
96262200	-895704
95086400	-733645
312419700	-1541291
305951500	-1578294
321495400	-1664316
303467700	-1652119
454838900	-2089013
459875400	-1934208
464326100	-2229428
472707600	-2356163
1782260900	-4811598
1772095700	-4739387
1760725900	-4717250
1774314300	-4537267
6939615600	-8722212
6889902300	-9314968
6885682400	-9845767
7110204500	-8681447
30159876600	-17844628
30186006600	-18798446
31966803100	-18741474
29819466900	-18178610
50885751400	-22079522
49760396400	-22338561
50764810800	-22581384
48460223200	-22606313
157964316117	-45962292
290200580200	-45195405
299286306900	-47854708
305903486700	-46418161
