Solution	Run times	Error
46480.0	1435740327.2	0.15737051792828685
153896.0	2076401083.2	0.14334110934458627
7994.2869253392855	587377760.1	0.22461503145516015
24307.783888905262	174872877.5	0.14217573014309096
22291166.03915854	189952928747.0	0.1946162250493439
7368.0	766917.3	0.07420906837731447
39982.311142810184	21429189591.5	0.1422864734246667
7709.0	1929787.2	0.09924426065877656
25204.274499206214	174038380.0	0.1836326899223356
496.25217809078623	23465547.5	0.16491121617555454
9014.893160319041	24890338.5	0.1952921188436809
60865.99364895535	15411458862.2	0.19866858972301688
3588.0	535837.2	0.07974721637074933
