Solution	Run times	Error
10206.324752069073	7479500.0	0.35326501618523903
3978	618300.0	0.19711104423713513
8573.396768556513	101562600.0	0.3133267108695639
47191.018415316525	916032000.0	0.3482377697079174
25348685.385778774	4939035600.0	0.35847316341938695
632.7404669233661	19788500.0	0.4853062603834884
53428	152620800.0	0.3303784860557769
181223	199605200.0	0.3463618668370455
29997.77748189983	39949500.0	0.40953751911943564
28929.7795398701	38166700.0	0.3585883131337512
73137.95212932442	725037600.0	0.44034723953925753
7583	1298200.0	0.10555474558973611
8413	1690200.0	0.1996292599458149
