Solution	Run times	Error
50163.0	461898552.4	0.24907868525896415
180784.0	672034937.7	0.34310039969688416
7607.192616156231	197003311.7	0.16531749634746193
24696.412407098065	62449556.1	0.16043663222902288
23192699.7827289	58287528219.1	0.24293073832364717
7085.0	520756.0	0.03294940953491762
43722.15190633487	6651730433.2	0.24913296115464453
7343.0	1073664.2	0.04705546841579923
23138.600309164598	61682508.9	0.086625354990354
546.3799651329568	9551499.6	0.282582077776894
8600.596997585038	9958767.3	0.14036024895054872
65840.9315278796	4850027033.5	0.29664286753868996
3784.0	389942.0	0.1387300631959073
