Solution	Run times	Error
46330	34903979.0	0.15363545816733068
160719	43722069.0	0.19403129225420127
7730.1659935107855	13798004.0	0.18415532988829433
25345.749984558992	6250174.0	0.1909477485461419
23441291.97378331	460963099.0	0.2562531578118193
7674	345396.0	0.11882198571220294
39694.70476601417	129534413.0	0.13406961790795294
8272	469068.0	0.1795237416227007
23979.383976990186	5746324.0	0.12610988902931278
479.43399190345286	1659842.0	0.1254319058766499
8314.810179993956	2112195.0	0.10246753911349189
61536.83366141387	100892108.0	0.21187982317960274
3082	217225.0	-0.07252482696358711
