Solution	Run times	Error
45637.0	17402853749.2	0.13637948207171316
145937.0	25515666898.2	0.08421123014516872
7596.465576333113	475220684.1	0.1636742610804401
22964.396479514053	142676805.8	0.07905255518814269
23119973.916297965	136935386937.5	0.23903325266199332
6903.0	8715185.3	0.006414929289983963
42202.87374972719	16141136479.1	0.2057274941353976
7146.0	22744160.1	0.018964779694852416
22348.26740429819	144397322.4	0.049510068765764484
469.2709125277864	20448275.1	0.10157491203705722
7951.868109736955	21226264.8	0.05434475069437223
61028.409201100425	11721163174.3	0.20186713145654467
3536.0	5835185.4	0.06409870598856456
